USB-500/600 Log File,
Name: CEF501shelf#13,
Model: USB-502-PLUS,
Serial Number: 10001330,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
297,2/7/2017 2:09:32 PM,26.0,57.0,16.8,
298,2/7/2017 2:39:32 PM,26.0,56.5,16.7,
299,2/7/2017 3:09:32 PM,26.0,55.5,16.4,
300,2/7/2017 3:39:32 PM,26.0,56.0,16.5,
301,2/7/2017 4:09:32 PM,26.5,56.5,17.1,
302,2/7/2017 4:39:32 PM,26.0,56.0,16.5,
303,2/7/2017 5:09:32 PM,26.5,55.5,16.9,
304,2/7/2017 5:39:32 PM,26.5,55.5,16.9,
305,2/7/2017 6:09:32 PM,26.0,56.5,16.7,
306,2/7/2017 6:39:32 PM,26.0,55.5,16.4,
307,2/7/2017 7:09:32 PM,26.0,56.0,16.5,
308,2/7/2017 7:39:32 PM,26.5,55.5,16.9,
309,2/7/2017 8:09:32 PM,26.5,55.5,16.9,
310,2/7/2017 8:39:32 PM,26.0,56.0,16.5,
311,2/7/2017 9:09:32 PM,26.0,56.0,16.5,
312,2/7/2017 9:39:32 PM,26.5,55.5,16.9,
313,2/7/2017 10:09:32 PM,24.0,69.0,18.0,
314,2/7/2017 10:39:32 PM,22.5,80.5,19.0,
315,2/7/2017 11:09:32 PM,22.5,79.5,18.8,
316,2/7/2017 11:39:32 PM,22.5,77.5,18.4,
317,2/8/2017 12:09:32 AM,22.5,75.0,17.8,
318,2/8/2017 12:39:32 AM,22.5,73.0,17.4,
319,2/8/2017 1:09:32 AM,22.5,71.5,17.1,
320,2/8/2017 1:39:32 AM,22.5,71.0,17.0,
321,2/8/2017 2:09:32 AM,22.0,70.5,16.4,
322,2/8/2017 2:39:32 AM,22.0,70.5,16.4,
323,2/8/2017 3:09:32 AM,22.0,70.0,16.3,
324,2/8/2017 3:39:32 AM,22.0,69.5,16.2,
325,2/8/2017 4:09:32 AM,22.0,69.0,16.1,
326,2/8/2017 4:39:32 AM,22.0,69.0,16.1,
327,2/8/2017 5:09:32 AM,22.0,68.5,15.9,
328,2/8/2017 5:39:32 AM,22.0,69.0,16.1,
329,2/8/2017 6:09:32 AM,24.5,64.5,17.4,
330,2/8/2017 6:39:32 AM,25.5,59.5,17.0,
331,2/8/2017 7:09:32 AM,26.0,58.0,17.1,
332,2/8/2017 7:39:32 AM,26.0,59.0,17.4,
333,2/8/2017 8:09:32 AM,26.0,57.5,17.0,
334,2/8/2017 8:39:32 AM,26.0,57.0,16.8,
335,2/8/2017 9:09:32 AM,26.0,57.0,16.8,
336,2/8/2017 9:39:32 AM,26.0,57.5,17.0,
337,2/8/2017 10:09:32 AM,26.0,57.5,17.0,
338,2/8/2017 10:39:32 AM,26.0,58.0,17.1,
339,2/8/2017 11:09:32 AM,26.0,56.5,16.7,
340,2/8/2017 11:39:32 AM,26.0,56.0,16.5,
341,2/8/2017 12:09:32 PM,26.0,57.0,16.8,
342,2/8/2017 12:39:32 PM,26.0,56.5,16.7,
343,2/8/2017 1:09:32 PM,26.0,57.0,16.8,
344,2/8/2017 1:39:32 PM,26.0,57.5,17.0,
345,2/8/2017 2:09:32 PM,26.0,57.0,16.8,
346,2/8/2017 2:39:32 PM,26.0,57.5,17.0,
347,2/8/2017 3:09:32 PM,26.0,57.5,17.0,
348,2/8/2017 3:39:32 PM,26.0,56.5,16.7,
